grid_dim,n_train,n_holdout,n_test,p_features,polykernel_degree,polykernel_noise_half_width,SPOplus_spoloss_test,LS_spoloss_test,SSVM_spoloss_test,RF_spoloss_test,Absolute_spoloss_test,Huber_spoloss_test,Baseline_spoloss_test,SPOplus_hammingloss_test,LS_hammingloss_test,SSVM_hammingloss_test,RF_hammingloss_test,Absolute_hammingloss_test,Huber_hammingloss_test,Baseline_hammingloss_test,zstar_avg_test
50,100,25,10000,5,1,1,0.0025756478986211397,0.0025041186749994045,NA,0.004784349405922019,0.002575994544194202,0.0025759232128026673,0.026524475682932747,NA,NA,NA,NA,NA,NA,NA,-0.12685575692423443
50,100,25,10000,5,1,1,0.0024861086517259713,0.0024212921758913863,NA,0.004599314514411757,0.002499253887987205,0.0024980971747630993,0.026127742618099456,NA,NA,NA,NA,NA,NA,NA,-0.1261513191790869
50,100,25,10000,5,1,2,0.0086809220944165,0.008527018637093346,NA,0.011156214920895798,0.008783844063942423,0.00878321695333865,0.03262425447363679,NA,NA,NA,NA,NA,NA,NA,-0.1330891226347392
50,100,25,10000,5,1,2,0.008657535867552187,0.008527775157215055,NA,0.01117165932217067,0.008824909940952936,0.008824554780722733,0.03176413279237813,NA,NA,NA,NA,NA,NA,NA,-0.13159118351144714
50,100,25,10000,5,4,1,0.003214537329088402,0.003213934247962378,NA,0.005005871503124243,0.0033458744286535987,0.003345980083507961,0.020529660464005228,NA,NA,NA,NA,NA,NA,NA,-0.12310436571322321
50,100,25,10000,5,4,1,0.003446188984286541,0.0034336047460192774,NA,0.0055716616129435174,0.003584680733347258,0.0035849374406978674,0.02148342366339852,NA,NA,NA,NA,NA,NA,NA,-0.12436294222630827
50,100,25,10000,5,4,2,0.010975775659097735,0.01095969469965122,NA,0.013211190329640356,0.011338455560339876,0.011338730103601582,0.02858070609733265,NA,NA,NA,NA,NA,NA,NA,-0.1305968425350136
50,100,25,10000,5,4,2,0.010512738127787304,0.010477896484493454,NA,0.01260335130995098,0.010972010229947869,0.010972148258393008,0.027312003771948114,NA,NA,NA,NA,NA,NA,NA,-0.1297058691627752
50,100,25,10000,5,8,1,0.0023489994359319564,0.0025047308708509887,NA,0.0054948064607708395,0.0025507998156427936,0.0025505309194467315,0.02888786523745162,NA,NA,NA,NA,NA,NA,NA,-0.13850243583919566
50,100,25,10000,5,8,1,0.0023562542371330522,0.0025703424318310954,NA,0.005764716378058569,0.00250778239427327,0.0025085119618128205,0.029646345837015725,NA,NA,NA,NA,NA,NA,NA,-0.13854005344966014
