grid_dim,n_train,n_holdout,n_test,p_features,polykernel_degree,polykernel_noise_half_width,SPOplus_spoloss_test,LS_spoloss_test,SSVM_spoloss_test,RF_spoloss_test,Absolute_spoloss_test,Huber_spoloss_test,Baseline_spoloss_test,SPOplus_hammingloss_test,LS_hammingloss_test,SSVM_hammingloss_test,RF_hammingloss_test,Absolute_hammingloss_test,Huber_hammingloss_test,Baseline_hammingloss_test,zstar_avg_test
5,100,25,10000,5,1,0.0,1.4370912914312584e-5,1.2789769243681803e-17,0.15327022465179663,0.17178799090912356,1.2789769243681803e-17,1.2789769243681803e-17,2.3645861473302965,0.0064,0.0,1.7257,2.0109,0.0,0.0,5.2496,29.60225018322504
5,100,25,10000,5,1,0.0,2.439557140381492e-5,2.4513724383723456e-17,0.12406499580382363,0.18768800743559186,2.3092638912203255e-17,1.971756091734278e-17,2.5385477577710813,0.1493,0.1368,1.5679,2.1481,0.1264,0.1256,5.9772,29.441068365434027
5,100,25,10000,5,1,0.0,3.3111061852235934e-5,-5.684341886080802e-18,0.14237413161208518,0.19637554207466143,-5.684341886080802e-18,-5.684341886080802e-18,2.1964933005902476,0.0104,0.0,1.5574,2.0203,0.0,0.0,5.1722,29.786042530664727
5,100,25,10000,5,1,0.0,8.927051698183881e-5,5.0803805606847164e-17,0.07351493285444959,0.2090869952058088,5.0803805606847164e-17,5.0803805606847164e-17,2.54357638166579,0.0126,0.0,1.1167,1.9068,0.0,0.0,5.1868,29.406244187590257
5,100,25,10000,5,1,0.0,2.1412130331362355e-5,-4.1033842990145784e-17,0.17392765878572178,0.17433214675321418,-4.1033842990145784e-17,-4.1033842990145784e-17,2.5278808813265057,0.0089,0.0,1.8397,1.8419,0.0,0.0,6.0383,29.460539789477533
5,100,25,10000,5,1,0.0,3.3164137899360926e-5,9.237055564881302e-18,0.08007192110443567,0.16964885685633502,1.0658141036401503e-17,6.3948846218409015e-18,2.3353256579090065,0.0638,0.06,1.282,1.9445,0.044,0.048,5.5901,29.670759797298537
5,100,25,10000,5,1,0.0,0.00021889354871418404,2.5934809855243657e-17,0.16728144914168316,0.16437861685547317,2.5934809855243657e-17,2.5934809855243657e-17,2.2070864181196526,0.0371,0.0,1.7101,1.867,0.0,0.0,6.1967,29.807931102348153
5,100,25,10000,5,1,0.0,2.0243032658207128e-5,-7.105427357601002e-19,0.09861600018841449,0.16614999408569942,1.0658141036401502e-18,-2.4868995751603506e-18,2.4445551488658617,0.0353,0.0194,1.497,1.92,0.0164,0.0174,5.8764,29.451042164680455
5,100,25,10000,5,1,0.0,0.058469543787958614,3.2507330161024584e-17,0.09948778162952289,0.19736543027733414,3.2507330161024584e-17,3.2507330161024584e-17,2.1330632870155046,0.1168,0.0,1.4419,2.0332,0.0,0.0,5.1104,29.82420171400157
5,100,25,10000,5,1,0.0,4.89104771549556e-5,-9.592326932761353e-18,0.1084609926815626,0.14252730767014662,-9.592326932761353e-18,-9.592326932761353e-18,2.2807434643897038,0.0157,0.0,1.4777,1.7841,0.0,0.0,5.2465,29.702634017342927
5,100,25,10000,5,1,0.0,1.2934262905395855e-5,-2.1671553440683057e-17,0.12354447063138493,0.2434230142292967,-2.1671553440683057e-17,-2.1671553440683057e-17,2.634108531290732,0.008,0.0,1.6124,2.024,0.0,0.0,6.0002,29.32236036854043
5,100,25,10000,5,1,0.0,4.019787186987607e-5,3.907985046680551e-18,0.06850025748871652,0.24982205892365883,3.907985046680551e-18,4.973799150320701e-18,2.747217571190043,0.0181,0.0051,1.0214,1.9073,0.0054,0.0049,5.2623,29.201241120035508
5,100,25,10000,5,1,0.0,9.543139410383716e-6,-4.973799150320701e-18,0.14792802559512963,0.19018042795883477,-2.842170943040401e-18,-2.842170943040401e-18,2.610891683421222,0.0599,0.0516,1.5558,1.7866,0.0501,0.0534,5.4202,29.325219537440763
5,100,25,10000,5,1,0.0,2.599102684357213e-5,4.263256414560601e-18,0.1915199812092289,0.22719062633831358,4.263256414560601e-18,4.263256414560601e-18,2.5079378396211065,0.0106,0.0,1.887,2.204,0.0,0.0,5.1588,29.47248805011472
5,100,25,10000,5,1,0.0,4.99418367067614e-5,-2.4336088699783432e-17,0.11583521285491974,0.21926063303113752,-2.4336088699783432e-17,-2.4336088699783432e-17,2.166279435673984,0.0134,0.0,1.4467,2.1832,0.0,0.0,5.3353,29.89633023590442
5,100,25,10000,5,1,0.0,1.3714400537955384e-5,7.815970093361103e-18,0.12430021958500263,0.21788939764019288,7.815970093361103e-18,7.815970093361103e-18,2.893774940020875,0.0071,0.0,1.3916,1.7598,0.0,0.0,5.7053,29.079785112907278
5,100,25,10000,5,1,0.0,0.00400736124004305,2.5757174171303633e-17,0.12197652488532049,0.2459709916640357,1.0658141036401502e-18,2.7533531010703882e-17,2.7001216655428926,0.175,0.1514,1.6103,2.2204,0.1356,0.1522,5.3872,29.30960910178881
5,100,25,10000,5,1,0.0,2.6636618968353965e-5,8.704148513061227e-18,0.11263969699281891,0.20608828820647176,8.704148513061227e-18,8.704148513061227e-18,2.3461218300792983,0.0132,0.0,1.5694,2.1021,0.0,0.0,5.4523,29.65175257948544
5,100,25,10000,5,1,0.0,4.011839191304478e-5,-2.007283228522283e-17,0.10235790874854332,0.1400301470860769,-1.936228954946273e-17,-2.078337502098293e-17,2.3479623476530818,0.0207,0.0045,1.2986,1.6839,0.0045,0.0045,5.8705,29.59947584748687
5,100,25,10000,5,1,0.0,1.5839053406507554e-5,4.1033842990145784e-17,0.1677414111619531,0.1575895478164116,4.2099657093785934e-17,4.458655666894629e-17,2.2432686607913372,0.0989,0.1074,1.5815,1.9447,0.0918,0.096,5.846,29.76956190636356
5,100,25,10000,5,1,0.0,2.793588914418379e-5,-3.907985046680551e-18,0.14557134474143837,0.15949630014362498,-3.907985046680551e-18,-3.907985046680551e-18,2.4797512241791533,0.0121,0.0,1.6182,1.6952,0.0,0.0,5.9465,29.545945066302707
5,100,25,10000,5,1,0.0,0.005854766231816204,2.611244553918368e-17,0.10999443651335253,0.16147617203604733,2.611244553918368e-17,2.611244553918368e-17,2.5649360022146306,0.0603,0.0,1.3506,1.6702,0.0,0.0,5.4746,29.447496178761217
5,100,25,10000,5,1,0.0,6.031777008319281e-5,-1.1368683772161604e-17,0.1363659108631579,0.20338054377534093,-1.4210854715202004e-17,-1.1368683772161604e-17,2.323891090280831,0.0433,0.0244,1.603,2.0872,0.0272,0.0248,5.9363,29.646493432456104
5,100,25,10000,5,1,0.0,2.4024054172271292e-5,2.9842794901924206e-17,0.1062392675011414,0.1995505210280759,2.9842794901924206e-17,2.9842794901924206e-17,2.560840530951722,0.0099,0.0,1.3755,1.8693,0.0,0.0,5.6791,29.476731062588595
5,100,25,10000,5,1,0.0,0.11664012134182726,-3.446132268436486e-17,0.096893141569516,0.18074684155590914,-3.446132268436486e-17,-3.446132268436486e-17,2.5103103854992757,0.2561,0.0,1.4044,1.9102,0.0,0.0,6.1837,29.562757497049613
5,100,25,10000,5,1,0.0,4.741596676347353e-5,-1.723066134218243e-17,0.09889177364669621,0.1292380680550472,-1.723066134218243e-17,-1.758593271006248e-17,2.185160860738567,0.0338,0.0133,1.585,1.7772,0.014,0.0168,5.8071,29.739691249556145
5,100,25,10000,5,1,0.0,3.1396662909121e-5,-3.8546943414985436e-17,0.0956447662378898,0.2070394762124787,-3.8546943414985436e-17,-3.8546943414985436e-17,2.3295593277860576,0.0139,0.0,1.3499,2.086,0.0,0.0,5.8078,29.700484858816793
